Category,Subcategory,Product,Description,Free Tier Offer Details,Product Pricing
,"","Amazon Elastic Block Storage Block Storage","Amazon Elastic Block Store (EBS) is an easy to use, high-performance, block-storage service designed for use with Amazon Elastic Compute Cloud (EC2) for both throughput and transaction intensive workloads at any scale.","Use credits to access features in the Free and Paid plans, including: Amazon EBS Snapshots, Amazon Data Lifecycle Manager",""
,"","Amazon EFS Elastic File System","Amazon Elastic File System (Amazon EFS) provides a simple, scalable, fully managed elastic NFS file system for use with AWS Cloud services and on-premises resources.","Use credits to access features in the Free and Paid plans, including: Fully managed NFS storage for Linux workloads, 99.999999999% durability over a given year, Automatic scaling to petabytes of storage",""
,"","AWS Storage Gateway Hybrid Cloud Storage","AWS Storage Gateway is a hybrid cloud storage service that gives you on-premises access to virtually unlimited cloud storage.","100 GB free trial with the Paid plan. The trial includes: First 100 GB per account, No transfer charges into AWS",""
,"AWS End User Computing Services","Amazon WorkSpaces","You can use Amazon WorkSpaces to provision either Windows or Linux desktops in just a few minutes and quickly scale to provide thousands of desktops to workers across the globe.","Use credits to access features in the Paid plan.",""
,"AWS End User Computing Services","Amazon AppStream 2.0","Amazon AppStream 2.0 is a fully managed non-persistent application and desktop streaming service allowing you to centrally manage your desktop applications and securely deliver them to any computer.","40 hours free per month with the Paid plan. The trial includes: 40 hours per month of Windows stream.standard.large image builder usage",""
,"AWS End User Computing Services","Amazon WorkSpaces Web","Amazon WorkSpaces Web is a low-cost, fully managed workspace built to facilitate secure access to internal websites and SaaS applications from existing web browsers.","3-month free trial with the Paid Plan. Eligible accounts will not receive a monthly active user charge from Amazon WorkSpaces Secure Browser for up to 30 users, for 3 months, per AWS account.",""
,"","Amazon S3 Object Storage","Amazon Simple Storage Service (Amazon S3) is an object storage service that offers industry-leading scalability, data availability, security, and performance.","Use credits to access features in the Free and Paid plans, including: db.t3.micro and db.t4g.micro and 4 engines: MySQL, PostgreSQL, MariaDB, and Microsoft SQL Server",""
,"","Amazon Elastic Block Storage Block Storage","Amazon Elastic Block Store (EBS) is an easy to use, high-performance, block-storage service designed for use with Amazon Elastic Compute Cloud (EC2) for both throughput and transaction intensive workloads at any scale.","Use credits to access features in the Free and Paid plans, including: Amazon EBS Snapshots, Amazon Data Lifecycle Manager",""
,"","Amazon EFS Elastic File System","Amazon Elastic File System (Amazon EFS) provides a simple, scalable, fully managed elastic NFS file system for use with AWS Cloud services and on-premises resources.","Use credits to access features in the Free and Paid plans, including: Fully managed NFS storage for Linux workloads, 99.999999999% durability over a given year, Automatic scaling to petabytes of storage",""
,"","AWS Storage Gateway Hybrid Cloud Storage","AWS Storage Gateway is a hybrid cloud storage service that gives you on-premises access to virtually unlimited cloud storage.","100 GB free trial with the Paid plan. The trial includes: First 100 GB per account, No transfer charges into AWS",""
,"","AWS Glue","AWS Glue Serverless data integration makes it easy to discover, prepare, and combine data for analytics, machine learning (ML), and application development.","This always free service is on the Free and Paid plan. Use your credits to evaluate beyond these monthly limits: 1 million objects stored in the AWS Glue Data Catalog, 1 million requests made per month to the AWS Glue Data Catalog",""
,"","Amazon OpenSearch Service","Amazon OpenSearch Service is a distributed, community-driven, Apache 2.0-licensed, 100% open-source search and analytics suite used for a broad set of use cases like real-time application monitoring, log analytics, and website search.","This always free service is on the Paid plan. Use your credits to evaluate beyond these monthly limits: 750 hours of a single-AZ t2.small.search or t3.small.search instance, 10 GB of month of optional EBS storage (magnetic or general purpose)",""
,"","Amazon QuickSight","Amazon QuickSight is a scalable, serverless, embeddable, ML-powered BI service.","30-day free trial with the Paid plan. The trial includes: 10 GB of SPICE capacity for a total of 4 users",""
,"","Amazon Redshift","Amazon Redshift is a fully managed, scalable cloud data warehouse that accelerates your time to insights with fast, easy, and secure analytics at scale.","2-month free trial with the Paid plan. The trial includes: 750 DC2.Large node hours per month",""
,"","Amazon S3","Amazon S3 is an object storage service that offers industry-leading scalability, data availability, security, and performance.","This always free service is on the Free and Paid plan, including: Storage of data across multiple zones with 99.999999999% durability, Protection of data with encryption, access control, and Block Public Access settings",""
,"","Amazon SageMaker AI","Amazon SageMaker AI allows you yo build, train, and deploy ML models—including FMs—for any use case with fully managed infrastructure.","Use credits to access features in the Free and Paid plan.",""
,"Continuous Integration & Continuous Delivery","Amazon CodeBuild","Amazon CodeBuild is a fully managed build service that takes care in the cloud.","This always free service is on the Free and Paid plan. Use your credits to evaluate beyond these monthly limits: 100 build minutes per month of general purpose build type usage",""
,"Continuous Integration & Continuous Delivery","Amazon CodeCatalyst","Amazon CodeCatalyst is a unified software development service that makes it easy to quickly build and deliver applications on AWS.","This always free service is on the Free and Paid plan. Use your credits to evaluate beyond these monthly limits: 2,000 build minutes, 10 Gb of each workflow deployment hours, 10 GB of source storage",""
,"Continuous Integration & Continuous Delivery","AWS CodePipeline","AWS CodePipeline is a continuous delivery service for fast and reliable application updates.","This always free service is on the Free and Paid plan. Use your credits to evaluate beyond these monthly limits: 1 active pipeline per month",""
,"Microservices","Amazon ECS","Amazon ECS allows you to manage containers at any scale on managed infrastructure.","Use credits to access Amazon Elastic Container Service features in the Free and Paid plan.",""
,"Microservices","AWS Lambda","AWS Lambda is a compute service that runs your code in response to events and automatically manages the compute resources.","This always free service is on the Free and Paid plan. Use your credits to evaluate beyond these monthly limits: 1,000,000 free requests per month, Up to 400,000 GB-seconds or 3.2 million seconds of compute time per month",""
,"Infrastructure as Code","AWS CloudFormation","AWS CloudFormation allows you to model infrastructure worldwide and manage resources for AWS accounts and resources using familiar programming languages.","This always free service is on the Free and Paid plan. Use your credits to evaluate beyond these monthly limits: 1,000 handler operations per month",""
,"Infrastructure as Code","AWS Systems Manager","AWS Systems Manager can coordinate operational data from multiple AWS services and automate tasks across your AWS resources.","This always free service is on the Free and Paid plan. Use your credits to evaluate beyond these monthly limits: Free Systems Designer Features - Explorer, Application Manager, Best System Manager, Patch Manager, Maintenance Window, State Manager, Change Calendar, Automation, Instance Management, Distributor. Limits may apply to Systems Manager features provided at no additional charge.",""
,"Infrastructure as Code","AWS Cloud Development Kit (CDK)","AWS Cloud Development Kit (CDK) is an open-source framework that allows you to define cloud application resources using familiar programming languages.","ALWAYS FREE",""
,"Monitoring & Logging","AWS CloudTrail","AWS CloudTrail provides you with audit capabilities to monitor and obtain account activity related to actions across your AWS infrastructure.","This always free service is on the Free and Paid plan. Use your credits to evaluate beyond these monthly limits: 1 trail that delivers a single copy of management events in AWS trail events.",""
,"Monitoring & Logging","Amazon CloudWatch","Amazon CloudWatch is a service that monitors applications, responds to performance changes, optimizes resource utilization, and provides insights into operational health.","This always free service is on the Free and Paid plan. Use your credits to evaluate beyond these monthly limits: 10 custom metrics and alarms, 1M API requests, 5GB of log data ingestion and 5GB of log data archival, 3 dashboards with up to 50 metrics each per month",""
,"Monitoring & Logging","AWS X-Ray","AWS X-Ray analyzes and debugs production and distributed applications.","This always free service is on the Free and Paid plan. Use your credits to evaluate beyond these monthly limits: 100,000 traces recorded per month, 1,000,000 traces scanned or retrieved per month",""
,"","AWS IoT Core","AWS IoT Core connects IoT devices to the AWS cloud without the need to provision or manage server.","12-month free trial with the Free and Paid plan. The trial includes: 250,000 Messages (published or delivered) per month",""
,"","AWS IoT Device Management","AWS IoT Device Management onboards, organizes, monitors, and remotely manages connected devices at scale.","12-month free trial with the Free and Paid plan. The trial includes: 50 remote actions per month.",""
,"","AWS IoT Device Defender","AWS IoT Device Defender is a fully managed service that helps you secure your fleet of IoT devices","1-month free trial with the Free and Paid plan. The trial includes: 1 audit of all devices in your fleet in the first month, 1 million metric datapoints for one month",""
,"","AWS IoT Events","AWS IoT Events is a fully managed IoT service that makes it easy to detect and respond to events from IoT sensors and applications.","12-month free trial with the Free and Paid plan. The trial includes: 2,500 message evaluations per month",""
,"","AWS IoT SiteWise","AWS IoT SiteWise is a managed service that makes it easy to collect, store, organize, and monitor data from industrial equipment at scale to help you make better, data-driven decisions.","Not Available on the AWS Free Tier",""
,"","AWS IoT Greengrass","AWS IoT Greengrass is an open-source edge runtime and cloud service for building, deploying, and managing device software.","12-month free trial with the Paid plan. The trial includes: 3 devices for free",""
,"API Management","Amazon API Gateway","Amazon API Gateway is a fully managed service that makes it easy for developers to create, publish, maintain, monitor, and secure REST and Websocket APIs at any scale.","Use credits to access Amazon API Gateway features in both Free and Paid plans, including: SDK generation, API operations monitoring, API lifecycle management",""
,"API Management","AWS AppSync","AWS AppSync connects applications to events, data, and AI models","Use credits to access AWS AppSync features in both Free and Paid plans, including: Simplified data access and querying with GraphQL and server-side caching, Real-time data updates and events through pub/sub capabilities",""
,"Messaging","Amazon Simple Notification Service (SNS)","Amazon Simple Notification Service (SNS) is a fully managed Pub/Sub service for A2A and A2P messaging","This always free service is on the Free and Paid plan. Use your credits to evaluate beyond these monthly limits: 1,000,000 Publishes, 100,000 HTTP/S Deliveries, 1,000 Email Deliveries",""
,"Messaging","Amazon Simple Queue Service (SQS)","Amazon Simple Queue Service (SQS) is a message queue that sends, stores, and receives messages between application components at any volume","This always free service is on the Free and Paid plan. Use your credits to evaluate beyond these monthly limits: 1,000,000 Requests",""
,"Messaging","Amazon MQ","Amazon MQ is a fully managed service for open-source message brokers","Use credits to access Amazon MQ features in both Free and Paid plans, including: Automation of administrative tasks including hardware provisioning and software upgrades, Support of multiple messaging protocols: AMQP, STOMP, WebSocket, and MQTT, Configuration of advanced message routing",""
,"Workflows","AWS Step Functions","AWS Step Functions coordinates multiple AWS services into serverless workflows so you can build and update apps quickly","This always free service is on the Free and Paid plan. Use your credits to evaluate beyond these monthly limits: 4,000 state transitions per month",""
,"","Amazon Elastic Container Registry (ECR)","Amazon Elastic Container Registry (Amazon ECR) is a fully managed container registry that makes it easy to store, manage, share, and deploy your container images and artifacts anywhere.","Use credits to access features in both Free and Paid plans, including: Container orchestrator integration, OCI and Docker support",""
,"","Amazon Elastic Container Service (ECS) Anywhere","Amazon Elastic Container Service (ECS) Anywhere is a feature of Amazon ECS that enables you to easily run containers on customer-managed infrastructure, including on your own virtual machines (VMs) and bare metal servers.","Use credits to access Amazon ECS Anywhere features in the Free and Paid plan.",""
,"","Amazon Lightsail","Amazon Lightsail is an easy-to-use virtual private server (VPS) that offers you everything needed to build an application or website, plus a cost-effective, monthly plan.","90-day free trial with the Paid plan. The trial includes: Try the $5/mo, $7/mo, or $12/mo Linux/Unix plans with IPv4 address, Try the $9.50/mo, $14/mo, or $22/mo Windows plans with IPv4 address",""
,"","Amazon Elastic Compute Cloud (EC2)","Amazon Elastic Compute Cloud (Amazon EC2) offers the broadest and deepest compute platform, with over 750 instances and choice of the latest processor, storage, networking, operating system.","Use credits to access Amazon EC2 features in both Free and Paid plans. Free plan eligible instances include: T3.micro, T3.small, T4g.micro, T4g.small, C7i-flex.large, M7i-flex.large",""
